AQSID,Latitude,Longitude,long_name
File aqsid20180824.csv produced by Jen Hinds and Joe Vaughan, 08/24/2018 BACKUP as of 09/07/2018 JKV
410370001,42.189215,-120.353969,Lakeview - Center & M
410390059,44.067223,-123.141350,Eugene - Highway 99
410390060,44.026300,-123.083770,Eugene - Amazon Park
410391007,43.834470,-123.035375,Saginaw - Delight Valley School
410391009,44.046683,-123.017736,Springfield City Hall
410392013,43.744360,-122.480506,Oakridge - Willamette Activity Center
410399004,43.799500,-123.053500,Cottage Grove City Shops
410430009,44.615690,-123.091457,Albany - Calapooia School
410430104,44.752092,-122.479672,Mill City
410432002,44.395800,-122.730500,Sweet Home - Fire Department
410432003,44.778743,-122.617048,Lyons
410470007,45.014998,-122.790382,Silverton
410470041,44.943114,-123.005934,Salem - State Hospital
410470123,44.728314,-122.182756,Detroit Lake
410510080,45.496641,-122.602877,Portland - SE Lafayette
410590121,45.652231,-118.823033,Pendleton - McKay Creek
410591003,45.828968,-119.262991,Hermiston - Municipal Airport
410610120,45.300884,-117.812896,Cove - City Hall
410610123,45.323500,-118.077800,La Grande Hall & N Sts
410630001,45.426351,-117.296066,Enterprise - US Forest Service
410650007,45.602419,-121.203387,The Dalles - Cherry Heights
410650008,45.598384,-121.184229,The Dalles Wasco Library
410670004,45.528501,-122.972398,Hillsboro - Hare Field
410670005,45.399160,-122.745500,Portland Near Road
410670111,45.470200,-122.815900,Beaverton - Highland Park School
490030003,41.492802,-112.018700,Brigham City
490050007,41.842778,-111.851940,Smithfield
490110004,40.897999,-111.885498,BV
490353006,40.733501,-111.871696,Hawthorne
490353010,40.795500,-111.930900,Rose Park
490353013,40.496408,-112.036305,Herriman #3
490450004,40.600556,-112.355000,Erda
490494001,40.341400,-111.713600,Lindon - Provo
490495010,40.136398,-111.660202,Spanish Fork
490570002,41.206402,-111.975197,Ogden #2
490571003,41.302799,-111.988297,Harrisville
530010003,47.127998,-118.381897,Ritzville-Alder St 
530030004,46.425598,-117.059799,Clarkston-13th St
530050002,46.218300,-119.201500,Kennewick-Metaline
530050003,46.204582,-119.243743,Kennewick-S Clodfelter Rd (SOS)
530070007,47.838610,-120.023060,Chelan-Woodin Ave
530070010,47.598800,-120.664700,Leavenworth-Evans St
530070011,47.430610,-120.341950,Wenatchee-Fifth St
530090013,48.286700,-124.620300,Cheeka Peak
530090015,48.366058,-124.610046,Neah Bay 2-Makah Tribe
530090017,48.115000,-123.436434,Port Angeles-E 5th St
530110011,45.616600,-122.516602,Vancouver-Blairmont Dr (SO)
530110022,45.863899,-122.410889,Yacolt-Yacolt Rd
530110024,45.643360,-122.587370,Vancouver-NE 84th Ave
530130002,46.318000,-117.985000,Dayton-W Main
530150015,46.139400,-122.961900,Longview-30th Ave
530210002,46.575400,-119.002100,Mesa-Pepoit Way (temp SO)
530251002,47.130300,-119.272600,Moses Lake-Balsam St
530251003,47.241260,-119.845950,Quincy 3rd
530270011,47.339802,-124.291801,Taholah-Quinault Tribe
530272002,46.977200,-123.831700,Aberdeen-Division St
530299999,48.294399,-122.660004,Oak Harbor-SW 6th (US)
530310003,48.129101,-122.778900,Port Townsend-San Juan
530330017,47.490200,-121.772697,North Bend-North Bend Way (SO)
530330023,47.141102,-121.937897,Enumclaw Mud Mt (SO)
530330030,47.597222,-122.319722,Seattle-10th & Weller
530330031,47.600863,-122.148397,Bellevue-SE 12th
530330057,47.562000,-122.340500,Seattle-Duwamish
530330080,47.568236,-122.308628,Seattle-Beacon Hill
530331011,47.530900,-122.320800,Seattle-South Park
530332004,47.386101,-122.230202,Kent-James & Central
530350007,47.592675,-122.627397,Bremerton-Spruce Ave
530370002,46.993600,-120.545000,Ellensburg-Ruby St
530410004,46.664089,-122.967323,Chehalis-Market Blvd
530450007,47.213551,-123.100807,Shelton-W Franklin
530470009,48.364500,-120.121100,Twisp-Glover St
530470010,48.477200,-120.190600,Winthrop-Chewuch Rd
530470013,48.399990,-119.518959,Omak-Colville Tribe
530530012,46.784100,-121.740303,Mt Rainier- Jackson  Visitor Ctr
530530024,47.226340,-122.462560,Tacoma-S 36th St
530530029,47.186400,-122.451700,Tacoma-L St
530530031,47.265600,-122.385800,Tacoma-Alexander Ave
530531010,46.758300,-122.122200,Mount Rainier NP
530531016,47.412000,-122.304400,Tacoma-Tower Dr
530531018,47.140499,-122.299202,Puyallup-128th St
530570011,48.520590,-122.614280,Anacortes-202 Ave (SO-AQS)
530570015,48.410198,-122.337601,Mt Vernon-2nd Ave 
530579999,48.465401,-122.559998,Anacortes-Bartholomew Rd (US)
530610005,47.806400,-122.316700,Lynnwood-212th
530610020,48.246799,-121.603104,Darrington-Fir St
530611007,48.055000,-122.175797,Marysville-7th Ave
530630001,47.416401,-117.529800,Cheney-Turnbull (SO)
530630021,47.672501,-117.364899,Spokane-Augusta Ave (SO)
530630046,47.827202,-117.274200,Spokane-Greenbluff Rd (SOS)
530630047,47.699700,-117.426300,Spokane-Monroe St.
530639995,47.808226,-117.343270,Colbert-Greenbluff
530639997,47.663963,-117.257652,Spokane-E Broadway Ave (US)
530650002,47.885201,-117.988602,Wellpinit-Spokane Tribe
530650005,48.544690,-117.903222,Colville-E 1st St
530670005,46.952499,-122.595200,Yelm-Northern Pacific (SOS)
530670013,47.029301,-122.821503,Lacey-College St
530710005,46.058800,-118.351400,Walla Walla-12th St
530710006,46.200100,-119.008400,Burbank-Maple Street
530730005,48.950699,-122.554398,Custer-Loomis (SO-AQS)
530730019,48.760036,-122.456463,Bellingham Pacifc
530750003,46.724500,-117.180100,Pullman-Dexter Ave
530750005,46.815300,-117.873900,Lacrosse-Hill St
530750006,47.231300,-117.368500,Rosalia-Josephine St
530770005,46.320330,-119.998100,Sunnyside-S 16th
530770009,46.594952,-120.512283,Yakima-4th Ave
530770015,46.380199,-120.332603,Toppenish-Yakama Tribe
530770016,46.375431,-120.729317,White Swan-Yakama Tribe
840410352222,42.575374,-121.862767,Chiloquin Fire Dept
840410390101,44.115800,-123.121070,Eugene - Wilkes Dr.
840530230001,46.474438,-117.614764,Mobile-Pomeroy
840530330069,47.498535,-122.278385,Tukwila_Allentown
840530339990,47.287500,-122.214400,Auburn M St SE
840530390006,45.735931,-121.488398,Mobile-White Salmon
840530499991,46.661860,-123.791600,South Bend - First St
840530739992,48.947700,-122.147100,Maple Falls-Azure Way
840560390009,43.482560,-110.745261,Jackson Mobile
840MM0070182,47.768587,-120.664515,Plain_Mobile
840MM0510181,48.186389,-117.049069,Newport_Mobile
840MMMT10007,48.551019,-109.677483,Havre
MM0370179,47.197566,-120.958292,Cle Elum_Mobile
MMMT10006,48.607406,-112.363842,Cut Bank
TT1010002,48.167100,-118.974748,Nespelem
TT1010003,48.296960,-118.202420,Inchelium
